,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
4,,B07,28707680,2870768,0.1,00:06.0,18374600,1837460,0.1,11:30.4,12232800,1223280,0.1,22:54.6,28707680,0,0,0,18374600,0,0,0,12232800,0,0,0
4,,B08,29097320,2909732,0.1,00:06.2,18434120,1843412,0.1,11:30.5,12233280,1223328,0.1,22:54.8,29097320,0,0,0,18434120,0,0,0,12233280,0,0,0
4,,B09,29577680,2957768,0.1,00:06.4,18891520,1889152,0.1,11:30.7,12548480,1254848,0.1,22:55.0,29577680,0,0,0,18891520,0,0,0,12548480,0,0,0
4,,B10,29588320,2958832,0.1,00:06.6,18886320,1888632,0.1,11:30.9,12538960,1253896,0.1,22:55.2,29588320,0,0,0,18886320,0,0,0,12538960,0,0,0
4,,B11,29874400,2987440,0.1,00:06.8,19033520,1903352,0.1,11:31.1,12592040,1259204,0.1,22:55.4,29874400,0,0,0,19033520,0,0,0,12592040,0,0,0
4,,B12,30388160,3038816,0.1,00:07.0,19291480,1929148,0.1,11:31.3,12802640,1280264,0.1,22:55.5,30388160,0,0,0,19291480,0,0,0,12802640,0,0,0
4,,B13,30271560,3027156,0.1,00:07.2,19218560,1921856,0.1,11:31.5,12703000,1270300,0.1,22:55.7,30271560,0,0,0,19218560,0,0,0,12703000,0,0,0
4,,B14,30215240,3021524,0.1,00:07.4,19232880,1923288,0.1,11:31.7,12757560,1275756,0.1,22:55.9,30215240,0,0,0,19232880,0,0,0,12757560,0,0,0
4,,B15,30587240,3058724,0.1,00:07.5,19345000,1934500,0.1,11:31.9,12791520,1279152,0.1,22:56.1,30587240,0,0,0,19345000,0,0,0,12791520,0,0,0
4,,B16,30732080,3073208,0.1,00:07.7,19503480,1950348,0.1,11:32.1,12969200,1296920,0.1,22:56.3,30732080,0,0,0,19503480,0,0,0,12969200,0,0,0
4,,B17,30819040,3081904,0.1,00:07.9,19587080,1958708,0.1,11:32.3,13010720,1301072,0.1,22:56.5,30819040,0,0,0,19587080,0,0,0,13010720,0,0,0
4,,B18,30625800,3062580,0.1,00:08.1,19430480,1943048,0.1,11:32.5,12857400,1285740,0.1,22:56.7,30625800,0,0,0,19430480,0,0,0,12857400,0,0,0
4,,B19,30359760,3035976,0.1,00:08.3,19256200,1925620,0.1,11:32.7,12808960,1280896,0.1,22:56.9,30359760,0,0,0,19256200,0,0,0,12808960,0,0,0
4,,B20,30332360,3033236,0.1,00:08.5,19447120,1944712,0.1,11:32.8,12956560,1295656,0.1,22:57.1,30332360,0,0,0,19447120,0,0,0,12956560,0,0,0
4,,B21,30831240,3083124,0.1,00:08.7,19810480,1981048,0.1,11:33.0,13100440,1310044,0.1,22:57.3,30831240,0,0,0,19810480,0,0,0,13100440,0,0,0
4,,B22,30383480,3038348,0.1,00:08.9,19514640,1951464,0.1,11:33.2,12925360,1292536,0.1,22:57.5,30383480,0,0,0,19514640,0,0,0,12925360,0,0,0
4,,B23,93360,9336,0.1,00:09.1,59440,5944,0.1,11:33.4,39840,3984,0.1,22:57.7,93360,0,0,0,59440,0,0,0,39840,0,0,0
4,,B24,30049520,3004952,0.1,00:09.3,19368720,1936872,0.1,11:33.6,12821160,1282116,0.1,22:57.9,30049520,0,0,0,19368720,0,0,0,12821160,0,0,0
4,,C01,31118640,3111864,0.1,00:09.7,19941760,1994176,0.1,11:34.1,13198720,1319872,0.1,22:58.3,31118640,0,0,0,19941760,0,0,0,13198720,0,0,0
4,,C02,56240,5624,0.1,00:09.9,38280,3828,0.1,11:34.3,26080,2608,0.1,22:58.5,56240,0,0,0,38280,0,0,0,26080,0,0,0
4,,C03,118680,11868,0.1,00:10.1,74760,7476,0.1,11:34.5,50320,5032,0.1,22:58.7,118680,0,0,0,74760,0,0,0,50320,0,0,0
4,,C04,30521400,3052140,0.1,00:10.3,19516680,1951668,0.1,11:34.6,12952960,1295296,0.1,22:58.9,30521400,0,0,0,19516680,0,0,0,12952960,0,0,0
4,,C05,30600920,3060092,0.1,00:10.5,19737760,1973776,0.1,11:34.8,13163760,1316376,0.1,22:59.1,30600920,0,0,0,19737760,0,0,0,13163760,0,0,0
4,,C06,30779680,3077968,0.1,00:10.7,19670000,1967000,0.1,11:35.0,13040320,1304032,0.1,22:59.3,30779680,0,0,0,19670000,0,0,0,13040320,0,0,0
4,,C07,30366720,3036672,0.1,00:10.9,19204680,1920468,0.1,11:35.2,12658680,1265868,0.1,22:59.5,30366720,0,0,0,19204680,0,0,0,12658680,0,0,0
4,,C08,30498640,3049864,0.1,00:11.1,19355480,1935548,0.1,11:35.4,12846280,1284628,0.1,22:59.6,30498640,0,0,0,19355480,0,0,0,12846280,0,0,0
4,,C09,30385560,3038556,0.1,00:11.3,19419080,1941908,0.1,11:35.6,12860040,1286004,0.1,22:59.8,30385560,0,0,0,19419080,0,0,0,12860040,0,0,0
4,,C10,30326600,3032660,0.1,00:11.5,19288960,1928896,0.1,11:35.8,12772560,1277256,0.1,23:00.0,30326600,0,0,0,19288960,0,0,0,12772560,0,0,0
4,,C11,30018440,3001844,0.1,00:11.6,19149960,1914996,0.1,11:36.0,12727960,1272796,0.1,23:00.2,30018440,0,0,0,19149960,0,0,0,12727960,0,0,0
4,,C12,29885560,2988556,0.1,00:11.8,19105840,1910584,0.1,11:36.2,12715160,1271516,0.1,23:00.4,29885560,0,0,0,19105840,0,0,0,12715160,0,0,0
4,,C13,28444880,2844488,0.1,00:12.0,18067400,1806740,0.1,11:36.4,11948280,1194828,0.1,23:00.6,28444880,0,0,0,18067400,0,0,0,11948280,0,0,0
4,,C14,3002240,300224,0.1,00:12.2,2430520,243052,0.1,11:36.6,1988680,198868,0.1,23:00.8,3002240,0,0,0,2430520,0,0,0,1988680,0,0,0
4,,C15,29131960,2913196,0.1,00:12.4,18640520,1864052,0.1,11:36.8,12310000,1231000,0.1,23:01.0,29131960,0,0,0,18640520,0,0,0,12310000,0,0,0
4,,C16,29350880,2935088,0.1,00:12.6,18554520,1855452,0.1,11:37.0,12307720,1230772,0.1,23:01.2,29350880,0,0,0,18554520,0,0,0,12307720,0,0,0
4,,C17,29357280,2935728,0.1,00:12.8,18608800,1860880,0.1,11:37.1,12340760,1234076,0.1,23:01.4,29357280,0,0,0,18608800,0,0,0,12340760,0,0,0
4,,C18,28308560,2830856,0.1,00:13.0,18172960,1817296,0.1,11:37.3,12179760,1217976,0.1,23:01.6,28308560,0,0,0,18172960,0,0,0,12179760,0,0,0
4,,C19,29069120,2906912,0.1,00:13.2,18562000,1856200,0.1,11:37.5,12312720,1231272,0.1,23:01.8,29069120,0,0,0,18562000,0,0,0,12312720,0,0,0
4,,C20,28708640,2870864,0.1,00:13.4,18264840,1826484,0.1,11:37.7,12165160,1216516,0.1,23:02.0,28708640,0,0,0,18264840,0,0,0,12165160,0,0,0
4,,C21,28696680,2869668,0.1,00:13.6,18538160,1853816,0.1,11:37.9,12345680,1234568,0.1,23:02.1,28696680,0,0,0,18538160,0,0,0,12345680,0,0,0
4,,C22,28475840,2847584,0.1,00:13.8,18292360,1829236,0.1,11:38.1,12099320,1209932,0.1,23:02.3,28475840,0,0,0,18292360,0,0,0,12099320,0,0,0
4,,C23,84720,8472,0.1,00:14.0,53160,5316,0.1,11:38.3,35680,3568,0.1,23:02.5,84720,0,0,0,53160,0,0,0,35680,0,0,0
4,,C24,27805960,2780596,0.1,00:14.1,17980440,1798044,0.1,11:38.5,11906200,1190620,0.1,23:02.7,27805960,0,0,0,17980440,0,0,0,11906200,0,0,0
4,,D01,26859560,2685956,0.1,00:14.6,17140480,1714048,0.1,11:38.9,11346320,1134632,0.1,23:03.2,26859560,0,0,0,17140480,0,0,0,11346320,0,0,0
4,,D02,72680,7268,0.1,00:14.8,42920,4292,0.1,11:39.1,30320,3032,0.1,23:03.4,72680,0,0,0,42920,0,0,0,30320,0,0,0
4,,D03,24810640,2481064,0.1,00:15.0,14207320,1420732,0.1,11:39.3,8916360,891636,0.1,23:03.5,24810640,0,0,0,14207320,0,0,0,8916360,0,0,0
4,,D04,27676680,2767668,0.1,00:15.2,17629440,1762944,0.1,11:39.5,11735880,1173588,0.1,23:03.7,27676680,0,0,0,17629440,0,0,0,11735880,0,0,0
4,,D05,27679320,2767932,0.1,00:15.4,17766000,1776600,0.1,11:39.7,11815560,1181556,0.1,23:03.9,27679320,0,0,0,17766000,0,0,0,11815560,0,0,0
4,,D06,27936000,2793600,0.1,00:15.5,17919880,1791988,0.1,11:39.9,11917000,1191700,0.1,23:04.1,27936000,0,0,0,17919880,0,0,0,11917000,0,0,0
4,,D07,28040480,2804048,0.1,00:15.7,17827960,1782796,0.1,11:40.1,11842640,1184264,0.1,23:04.3,28040480,0,0,0,17827960,0,0,0,11842640,0,0,0
4,,D08,28145280,2814528,0.1,00:15.9,17896760,1789676,0.1,11:40.3,11860240,1186024,0.1,23:04.5,28145280,0,0,0,17896760,0,0,0,11860240,0,0,0
4,,D09,28124600,2812460,0.1,00:16.1,17860560,1786056,0.1,11:40.5,11853920,1185392,0.1,23:04.7,28124600,0,0,0,17860560,0,0,0,11853920,0,0,0
4,,D10,28412600,2841260,0.1,00:16.3,18050560,1805056,0.1,11:40.7,11964040,1196404,0.1,23:04.9,28412600,0,0,0,18050560,0,0,0,11964040,0,0,0
4,,D11,28480960,2848096,0.1,00:16.5,18030200,1803020,0.1,11:40.8,11923280,1192328,0.1,23:05.1,28480960,0,0,0,18030200,0,0,0,11923280,0,0,0
4,,D12,28386400,2838640,0.1,00:16.7,18033320,1803332,0.1,11:41.0,11916240,1191624,0.1,23:05.3,28386400,0,0,0,18033320,0,0,0,11916240,0,0,0
4,,D13,28384320,2838432,0.1,00:16.9,18027760,1802776,0.1,11:41.2,11935560,1193556,0.1,23:05.5,28384320,0,0,0,18027760,0,0,0,11935560,0,0,0
4,,D14,27384040,2738404,0.1,00:17.1,17382080,1738208,0.1,11:41.4,11482640,1148264,0.1,23:05.7,27384040,0,0,0,17382080,0,0,0,11482640,0,0,0
4,,D15,28532400,2853240,0.1,00:17.3,18123880,1812388,0.1,11:41.6,12010560,1201056,0.1,23:05.9,28532400,0,0,0,18123880,0,0,0,12010560,0,0,0
4,,D16,28520160,2852016,0.1,00:17.5,18041000,1804100,0.1,11:41.8,11935520,1193552,0.1,23:06.0,28520160,0,0,0,18041000,0,0,0,11935520,0,0,0
4,,D17,27345960,2734596,0.1,00:17.7,17114320,1711432,0.1,11:42.0,11234320,1123432,0.1,23:06.2,27345960,0,0,0,17114320,0,0,0,11234320,0,0,0
4,,D18,28182800,2818280,0.1,00:17.9,17967360,1796736,0.1,11:42.2,11961040,1196104,0.1,23:06.4,28182800,0,0,0,17967360,0,0,0,11961040,0,0,0
4,,D19,28678680,2867868,0.1,00:18.0,18196440,1819644,0.1,11:42.4,12052880,1205288,0.1,23:06.6,28678680,0,0,0,18196440,0,0,0,12052880,0,0,0
4,,D20,28337600,2833760,0.1,00:18.2,18009440,1800944,0.1,11:42.6,11945640,1194564,0.1,23:06.8,28337600,0,0,0,18009440,0,0,0,11945640,0,0,0
4,,D21,28465680,2846568,0.1,00:18.4,18312440,1831244,0.1,11:42.8,12173840,1217384,0.1,23:07.0,28465680,0,0,0,18312440,0,0,0,12173840,0,0,0
4,,D22,28340400,2834040,0.1,00:18.6,18190000,1819000,0.1,11:43.0,12058160,1205816,0.1,23:07.2,28340400,0,0,0,18190000,0,0,0,12058160,0,0,0
4,,D23,81560,8156,0.1,00:18.8,51160,5116,0.1,11:43.2,34920,3492,0.1,23:07.4,81560,0,0,0,51160,0,0,0,34920,0,0,0
4,,D24,27952200,2795220,0.1,00:19.0,17833400,1783340,0.1,11:43.3,11805240,1180524,0.1,23:07.6,27952200,0,0,0,17833400,0,0,0,11805240,0,0,0
4,,E01,33416040,3341604,0.1,00:19.5,21647960,2164796,0.1,11:43.8,14420760,1442076,0.1,23:08.0,33416040,0,0,0,21647960,0,0,0,14420760,0,0,0
4,,E02,93120,9312,0.1,00:19.6,57640,5764,0.1,11:44.0,42640,4264,0.1,23:08.2,93120,0,0,0,57640,0,0,0,42640,0,0,0
4,,E03,33519920,3351992,0.1,00:19.8,21661000,2166100,0.1,11:44.2,14383240,1438324,0.1,23:08.4,33519920,0,0,0,21661000,0,0,0,14383240,0,0,0
4,,E04,30185920,3018592,0.1,00:20.0,19599640,1959964,0.1,11:44.4,13160600,1316060,0.1,23:08.6,30185920,0,0,0,19599640,0,0,0,13160600,0,0,0
4,,E05,32564200,3256420,0.1,00:20.2,21003760,2100376,0.1,11:44.6,13965000,1396500,0.1,23:08.8,32564200,0,0,0,21003760,0,0,0,13965000,0,0,0
4,,E06,31933400,3193340,0.1,00:20.4,20621320,2062132,0.1,11:44.8,13762440,1376244,0.1,23:09.0,31933400,0,0,0,20621320,0,0,0,13762440,0,0,0
4,,E07,31830720,3183072,0.1,00:20.6,20422320,2042232,0.1,11:45.0,13592920,1359292,0.1,23:09.2,31830720,0,0,0,20422320,0,0,0,13592920,0,0,0
