,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
2,,B08,8774600,877460,0.1,00:06.2,8381040,838104,0.1,11:30.5,7924600,792460,0.1,22:54.8,8774600,0,0,0,8381040,0,0,0,7924600,0,0,0
2,,B09,8987600,898760,0.1,00:06.4,8536680,853668,0.1,11:30.7,8038920,803892,0.1,22:55.0,8987600,0,0,0,8536680,0,0,0,8038920,0,0,0
2,,B10,9070880,907088,0.1,00:06.6,8582680,858268,0.1,11:30.9,8106720,810672,0.1,22:55.2,9070880,0,0,0,8582680,0,0,0,8106720,0,0,0
2,,B11,9051160,905116,0.1,00:06.8,8588000,858800,0.1,11:31.1,8097640,809764,0.1,22:55.4,9051160,0,0,0,8588000,0,0,0,8097640,0,0,0
2,,B12,9065160,906516,0.1,00:07.0,8586160,858616,0.1,11:31.3,8086520,808652,0.1,22:55.6,9065160,0,0,0,8586160,0,0,0,8086520,0,0,0
2,,B13,9045320,904532,0.1,00:07.2,8569080,856908,0.1,11:31.5,8072360,807236,0.1,22:55.8,9045320,0,0,0,8569080,0,0,0,8072360,0,0,0
2,,B14,9003840,900384,0.1,00:07.4,8508640,850864,0.1,11:31.7,8044960,804496,0.1,22:56.0,9003840,0,0,0,8508640,0,0,0,8044960,0,0,0
2,,B15,9074440,907444,0.1,00:07.5,8624040,862404,0.1,11:31.9,8172080,817208,0.1,22:56.2,9074440,0,0,0,8624040,0,0,0,8172080,0,0,0
2,,B16,9000120,900012,0.1,00:07.7,8519800,851980,0.1,11:32.1,8060280,806028,0.1,22:56.4,9000120,0,0,0,8519800,0,0,0,8060280,0,0,0
2,,B17,9157840,915784,0.1,00:07.9,8695720,869572,0.1,11:32.2,8233760,823376,0.1,22:56.5,9157840,0,0,0,8695720,0,0,0,8233760,0,0,0
2,,B18,9097520,909752,0.1,00:08.1,8614960,861496,0.1,11:32.5,8171920,817192,0.1,22:56.7,9097520,0,0,0,8614960,0,0,0,8171920,0,0,0
2,,B19,8926480,892648,0.1,00:08.3,8462440,846244,0.1,11:32.6,7977360,797736,0.1,22:56.9,8926480,0,0,0,8462440,0,0,0,7977360,0,0,0
2,,B20,9009840,900984,0.1,00:08.5,8538920,853892,0.1,11:32.8,8057760,805776,0.1,22:57.1,9009840,0,0,0,8538920,0,0,0,8057760,0,0,0
2,,B21,9108680,910868,0.1,00:08.7,8644040,864404,0.1,11:33.0,8151080,815108,0.1,22:57.3,9108680,0,0,0,8644040,0,0,0,8151080,0,0,0
2,,B22,9082080,908208,0.1,00:08.9,8616560,861656,0.1,11:33.2,8123280,812328,0.1,22:57.5,9082080,0,0,0,8616560,0,0,0,8123280,0,0,0
2,,B23,18760,1876,0.1,00:09.1,17000,1700,0.1,11:33.4,17520,1752,0.1,22:57.7,18760,0,0,0,17000,0,0,0,17520,0,0,0
2,,B24,8855560,885556,0.1,00:09.3,8365160,836516,0.1,11:33.6,7924560,792456,0.1,22:57.9,8855560,0,0,0,8365160,0,0,0,7924560,0,0,0
2,,C01,8437080,843708,0.1,00:09.7,8067480,806748,0.1,11:34.0,7621680,762168,0.1,22:58.3,8437080,0,0,0,8067480,0,0,0,7621680,0,0,0
2,,C02,247480,24748,0.1,00:09.9,164840,16484,0.1,11:34.2,131880,13188,0.1,22:58.5,247480,0,0,0,164840,0,0,0,131880,0,0,0
2,,C03,5846920,584692,0.1,00:10.1,5042000,504200,0.1,11:34.4,4381840,438184,0.1,22:58.7,5846920,0,0,0,5042000,0,0,0,4381840,0,0,0
2,,C04,8534480,853448,0.1,00:10.3,8098280,809828,0.1,11:34.6,7634560,763456,0.1,22:58.9,8534480,0,0,0,8098280,0,0,0,7634560,0,0,0
2,,C05,8492920,849292,0.1,00:10.5,8066520,806652,0.1,11:34.8,7600200,760020,0.1,22:59.1,8492920,0,0,0,8066520,0,0,0,7600200,0,0,0
2,,C06,8243040,824304,0.1,00:10.7,7867920,786792,0.1,11:35.0,7443560,744356,0.1,22:59.3,8243040,0,0,0,7867920,0,0,0,7443560,0,0,0
2,,C07,8675640,867564,0.1,00:10.9,8230480,823048,0.1,11:35.2,7752600,775260,0.1,22:59.5,8675640,0,0,0,8230480,0,0,0,7752600,0,0,0
2,,C08,8701560,870156,0.1,00:11.1,8273680,827368,0.1,11:35.4,7823880,782388,0.1,22:59.7,8701560,0,0,0,8273680,0,0,0,7823880,0,0,0
2,,C09,8714920,871492,0.1,00:11.3,8330440,833044,0.1,11:35.6,7862960,786296,0.1,22:59.9,8714920,0,0,0,8330440,0,0,0,7862960,0,0,0
2,,C10,8721840,872184,0.1,00:11.5,8321400,832140,0.1,11:35.8,7866960,786696,0.1,23:00.1,8721840,0,0,0,8321400,0,0,0,7866960,0,0,0
2,,C11,8681080,868108,0.1,00:11.6,8257240,825724,0.1,11:36.0,7828360,782836,0.1,23:00.3,8681080,0,0,0,8257240,0,0,0,7828360,0,0,0
2,,C12,8522800,852280,0.1,00:11.8,8181520,818152,0.1,11:36.2,7773200,777320,0.1,23:00.5,8522800,0,0,0,8181520,0,0,0,7773200,0,0,0
2,,C13,8337880,833788,0.1,00:12.0,7986480,798648,0.1,11:36.3,7571440,757144,0.1,23:00.7,8337880,0,0,0,7986480,0,0,0,7571440,0,0,0
2,,C14,8057800,805780,0.1,00:12.2,7663160,766316,0.1,11:36.5,7300080,730008,0.1,23:00.8,8057800,0,0,0,7663160,0,0,0,7300080,0,0,0
2,,C15,8731120,873112,0.1,00:12.4,8300360,830036,0.1,11:36.7,7842760,784276,0.1,23:01.0,8731120,0,0,0,8300360,0,0,0,7842760,0,0,0
