,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
1,,B07,15836040,1583604,0.1,00:06.0,12358480,1235848,0.1,11:30.4,10462600,1046260,0.1,22:54.6,15836040,0,0,0,12358480,0,0,0,10462600,0,0,0
1,,B08,14845360,1484536,0.1,00:06.2,11643480,1164348,0.1,11:30.5,9944320,994432,0.1,22:54.8,14845360,0,0,0,11643480,0,0,0,9944320,0,0,0
1,,B09,15513200,1551320,0.1,00:06.4,12135960,1213596,0.1,11:30.7,10290160,1029016,0.1,22:55.0,15513200,0,0,0,12135960,0,0,0,10290160,0,0,0
1,,B10,15532200,1553220,0.1,00:06.6,12154320,1215432,0.1,11:30.9,10402400,1040240,0.1,22:55.2,15532200,0,0,0,12154320,0,0,0,10402400,0,0,0
1,,B11,15608320,1560832,0.1,00:06.8,12459840,1245984,0.1,11:31.1,10663040,1066304,0.1,22:55.4,15608320,0,0,0,12459840,0,0,0,10663040,0,0,0
1,,B12,15936600,1593660,0.1,00:07.0,12559320,1255932,0.1,11:31.3,10794120,1079412,0.1,22:55.5,15936600,0,0,0,12559320,0,0,0,10794120,0,0,0
1,,B13,14777760,1477776,0.1,00:07.2,11932120,1193212,0.1,11:31.5,10157760,1015776,0.1,22:55.7,14777760,0,0,0,11932120,0,0,0,10157760,0,0,0
1,,B14,15211600,1521160,0.1,00:07.4,12050320,1205032,0.1,11:31.7,10220440,1022044,0.1,22:55.9,15211600,0,0,0,12050320,0,0,0,10220440,0,0,0
1,,B15,15356320,1535632,0.1,00:07.5,12311480,1231148,0.1,11:31.9,10484760,1048476,0.1,22:56.1,15356320,0,0,0,12311480,0,0,0,10484760,0,0,0
1,,B16,15332800,1533280,0.1,00:07.8,12471280,1247128,0.1,11:32.1,10631960,1063196,0.1,22:56.3,15332800,0,0,0,12471280,0,0,0,10631960,0,0,0
1,,B17,15507760,1550776,0.1,00:07.9,12501280,1250128,0.1,11:32.3,10608120,1060812,0.1,22:56.5,15507760,0,0,0,12501280,0,0,0,10608120,0,0,0
1,,B18,15440120,1544012,0.1,00:08.1,12390680,1239068,0.1,11:32.5,10478280,1047828,0.1,22:56.7,15440120,0,0,0,12390680,0,0,0,10478280,0,0,0
1,,B19,15406000,1540600,0.1,00:08.3,12355360,1235536,0.1,11:32.7,10411160,1041116,0.1,22:56.9,15406000,0,0,0,12355360,0,0,0,10411160,0,0,0
1,,B20,15191680,1519168,0.1,00:08.5,12337400,1233740,0.1,11:32.9,10518360,1051836,0.1,22:57.1,15191680,0,0,0,12337400,0,0,0,10518360,0,0,0
1,,B21,14750680,1475068,0.1,00:08.7,12113560,1211356,0.1,11:33.0,10297160,1029716,0.1,22:57.3,14750680,0,0,0,12113560,0,0,0,10297160,0,0,0
1,,B22,14900680,1490068,0.1,00:08.9,12308280,1230828,0.1,11:33.2,10487240,1048724,0.1,22:57.5,14900680,0,0,0,12308280,0,0,0,10487240,0,0,0
1,,B23,52040,5204,0.1,00:09.1,35320,3532,0.1,11:33.4,32080,3208,0.1,22:57.7,52040,0,0,0,35320,0,0,0,32080,0,0,0
1,,B24,14491680,1449168,0.1,00:09.3,12315320,1231532,0.1,11:33.6,10549520,1054952,0.1,22:57.9,14491680,0,0,0,12315320,0,0,0,10549520,0,0,0
1,,C01,14376760,1437676,0.1,00:09.7,11574320,1157432,0.1,11:34.1,9939880,993988,0.1,22:58.3,14376760,0,0,0,11574320,0,0,0,9939880,0,0,0
1,,C02,47960,4796,0.1,00:09.9,33480,3348,0.1,11:34.3,27160,2716,0.1,22:58.5,47960,0,0,0,33480,0,0,0,27160,0,0,0
1,,C03,7137480,713748,0.1,00:10.1,2986680,298668,0.1,11:34.5,1442120,144212,0.1,22:58.7,7137480,0,0,0,2986680,0,0,0,1442120,0,0,0
1,,C04,14412720,1441272,0.1,00:10.3,11452920,1145292,0.1,11:34.6,9647320,964732,0.1,22:58.9,14412720,0,0,0,11452920,0,0,0,9647320,0,0,0
1,,C05,13679320,1367932,0.1,00:10.5,11210640,1121064,0.1,11:34.8,9580720,958072,0.1,22:59.1,13679320,0,0,0,11210640,0,0,0,9580720,0,0,0
1,,C06,13334280,1333428,0.1,00:10.7,10900040,1090004,0.1,11:35.0,9291840,929184,0.1,22:59.3,13334280,0,0,0,10900040,0,0,0,9291840,0,0,0
1,,C07,6108160,610816,0.1,00:10.9,5294280,529428,0.1,11:35.2,4751520,475152,0.1,22:59.5,6108160,0,0,0,5294280,0,0,0,4751520,0,0,0
1,,C08,14828840,1482884,0.1,00:11.1,11781680,1178168,0.1,11:35.4,10007240,1000724,0.1,22:59.6,14828840,0,0,0,11781680,0,0,0,10007240,0,0,0
1,,C09,14716120,1471612,0.1,00:11.3,11946440,1194644,0.1,11:35.6,10127360,1012736,0.1,22:59.8,14716120,0,0,0,11946440,0,0,0,10127360,0,0,0
1,,C10,14425440,1442544,0.1,00:11.5,11708400,1170840,0.1,11:35.8,10025480,1002548,0.1,23:00.0,14425440,0,0,0,11708400,0,0,0,10025480,0,0,0
1,,C11,14512440,1451244,0.1,00:11.7,11760040,1176004,0.1,11:36.0,9988280,998828,0.1,23:00.2,14512440,0,0,0,11760040,0,0,0,9988280,0,0,0
1,,C12,14023880,1402388,0.1,00:11.8,11378240,1137824,0.1,11:36.2,9825840,982584,0.1,23:00.4,14023880,0,0,0,11378240,0,0,0,9825840,0,0,0
1,,C13,12444800,1244480,0.1,00:12.0,10107760,1010776,0.1,11:36.4,8537560,853756,0.1,23:00.6,12444800,0,0,0,10107760,0,0,0,8537560,0,0,0
1,,C14,13595960,1359596,0.1,00:12.2,11036960,1103696,0.1,11:36.6,9394440,939444,0.1,23:00.8,13595960,0,0,0,11036960,0,0,0,9394440,0,0,0
1,,C15,14592040,1459204,0.1,00:12.4,11982240,1198224,0.1,11:36.8,10254920,1025492,0.1,23:01.0,14592040,0,0,0,11982240,0,0,0,10254920,0,0,0
