,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
1,,B10,218920,21892,0.1,00:06.6,180320,18032,0.1,11:31.6,159720,15972,0.1,22:56.2,218920,0,0,0,180320,0,0,0,159720,0,0,0
1,,B11,222360,22236,0.1,00:06.8,187320,18732,0.1,11:31.8,166600,16660,0.1,22:56.5,222360,0,0,0,187320,0,0,0,166600,0,0,0
1,,B12,215960,21596,0.1,00:07.0,181280,18128,0.1,11:32.0,166400,16640,0.1,22:56.6,215960,0,0,0,181280,0,0,0,166400,0,0,0
1,,B13,215640,21564,0.1,00:07.2,184400,18440,0.1,11:32.2,164520,16452,0.1,22:56.8,215640,0,0,0,184400,0,0,0,164520,0,0,0
1,,B14,212840,21284,0.1,00:07.4,176000,17600,0.1,11:32.4,160080,16008,0.1,22:57.0,212840,0,0,0,176000,0,0,0,160080,0,0,0
1,,B15,221400,22140,0.1,00:07.5,183640,18364,0.1,11:32.6,168800,16880,0.1,22:57.2,221400,0,0,0,183640,0,0,0,168800,0,0,0
1,,B16,220560,22056,0.1,00:07.7,179960,17996,0.1,11:32.8,161600,16160,0.1,22:57.4,220560,0,0,0,179960,0,0,0,161600,0,0,0
1,,B17,219840,21984,0.1,00:07.9,182760,18276,0.1,11:33.0,164360,16436,0.1,22:57.6,219840,0,0,0,182760,0,0,0,164360,0,0,0
1,,B18,218400,21840,0.1,00:08.1,180160,18016,0.1,11:33.2,161760,16176,0.1,22:57.8,218400,0,0,0,180160,0,0,0,161760,0,0,0
1,,B19,215280,21528,0.1,00:08.3,179080,17908,0.1,11:33.4,160680,16068,0.1,22:58.0,215280,0,0,0,179080,0,0,0,160680,0,0,0
1,,B20,208360,20836,0.1,00:08.5,177240,17724,0.1,11:33.5,163080,16308,0.1,22:58.2,208360,0,0,0,177240,0,0,0,163080,0,0,0
1,,B21,213480,21348,0.1,00:08.7,177640,17764,0.1,11:33.7,163000,16300,0.1,22:58.4,213480,0,0,0,177640,0,0,0,163000,0,0,0
1,,B22,211040,21104,0.1,00:08.9,180720,18072,0.1,11:33.9,162600,16260,0.1,22:58.6,211040,0,0,0,180720,0,0,0,162600,0,0,0
1,,B23,440,44,0.1,00:09.1,440,44,0.1,11:34.1,360,36,0.1,22:58.8,440,0,0,0,440,0,0,0,360,0,0,0
1,,B24,211440,21144,0.1,00:09.3,179720,17972,0.1,11:34.3,165360,16536,0.1,22:58.9,211440,0,0,0,179720,0,0,0,165360,0,0,0
1,,C01,205120,20512,0.1,00:09.7,172400,17240,0.1,11:34.8,156760,15676,0.1,22:59.4,205120,0,0,0,172400,0,0,0,156760,0,0,0
