,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
1,,B10,439120,43912,0.1,00:06.6,386920,38692,0.1,06:03.7,361800,36180,0.1,12:00.9,439120,0,0,0,386920,0,0,0,361800,0,0,0
1,,B11,437920,43792,0.1,00:06.8,384760,38476,0.1,06:03.9,360440,36044,0.1,12:01.1,437920,0,0,0,384760,0,0,0,360440,0,0,0
1,,B12,441800,44180,0.1,00:07.0,386560,38656,0.1,06:04.1,361680,36168,0.1,12:01.3,441800,0,0,0,386560,0,0,0,361680,0,0,0
1,,B13,442920,44292,0.1,00:07.2,386880,38688,0.1,06:04.3,363480,36348,0.1,12:01.4,442920,0,0,0,386880,0,0,0,363480,0,0,0
1,,B14,101120,10112,0.1,00:07.4,95680,9568,0.1,06:04.5,94640,9464,0.1,12:01.6,101120,0,0,0,95680,0,0,0,94640,0,0,0
1,,B15,449280,44928,0.1,00:07.5,394920,39492,0.1,06:04.7,372800,37280,0.1,12:01.8,449280,0,0,0,394920,0,0,0,372800,0,0,0
1,,B16,450920,45092,0.1,00:07.7,398320,39832,0.1,06:04.9,374680,37468,0.1,12:02.0,450920,0,0,0,398320,0,0,0,374680,0,0,0
1,,B17,446360,44636,0.1,00:07.9,392760,39276,0.1,06:05.1,368280,36828,0.1,12:02.2,446360,0,0,0,392760,0,0,0,368280,0,0,0
1,,B18,445960,44596,0.1,00:08.1,389520,38952,0.1,06:05.3,364800,36480,0.1,12:02.4,445960,0,0,0,389520,0,0,0,364800,0,0,0
1,,B19,446280,44628,0.1,00:08.3,394040,39404,0.1,06:05.5,365960,36596,0.1,12:02.6,446280,0,0,0,394040,0,0,0,365960,0,0,0
1,,B20,442720,44272,0.1,00:08.5,391640,39164,0.1,06:05.6,362760,36276,0.1,12:02.8,442720,0,0,0,391640,0,0,0,362760,0,0,0
1,,B21,447400,44740,0.1,00:08.7,393480,39348,0.1,06:05.8,365400,36540,0.1,12:03.0,447400,0,0,0,393480,0,0,0,365400,0,0,0
1,,B22,444240,44424,0.1,00:08.9,388160,38816,0.1,06:06.0,363400,36340,0.1,12:03.2,444240,0,0,0,388160,0,0,0,363400,0,0,0
1,,B23,330280,33028,0.1,00:09.1,297200,29720,0.1,06:06.2,279720,27972,0.1,12:03.4,330280,0,0,0,297200,0,0,0,279720,0,0,0
1,,B24,436880,43688,0.1,00:09.3,384480,38448,0.1,06:06.4,366640,36664,0.1,12:03.5,436880,0,0,0,384480,0,0,0,366640,0,0,0
1,,C01,421640,42164,0.1,00:09.7,373280,37328,0.1,06:06.9,348040,34804,0.1,12:04.0,421640,0,0,0,373280,0,0,0,348040,0,0,0
