,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
2,,B10,250000,25000,0.1,00:06.6,239840,23984,0.1,11:31.6,224720,22472,0.1,22:56.2,250000,0,0,0,239840,0,0,0,224720,0,0,0
2,,B11,243640,24364,0.1,00:06.8,236840,23684,0.1,11:31.8,221280,22128,0.1,22:56.5,243640,0,0,0,236840,0,0,0,221280,0,0,0
2,,B12,251360,25136,0.1,00:07.0,245800,24580,0.1,11:32.0,226120,22612,0.1,22:56.6,251360,0,0,0,245800,0,0,0,226120,0,0,0
2,,B13,247640,24764,0.1,00:07.2,243920,24392,0.1,11:32.2,222880,22288,0.1,22:56.8,247640,0,0,0,243920,0,0,0,222880,0,0,0
2,,B14,248320,24832,0.1,00:07.4,242400,24240,0.1,11:32.4,220720,22072,0.1,22:57.0,248320,0,0,0,242400,0,0,0,220720,0,0,0
2,,B15,257960,25796,0.1,00:07.5,246280,24628,0.1,11:32.6,226560,22656,0.1,22:57.2,257960,0,0,0,246280,0,0,0,226560,0,0,0
2,,B16,267400,26740,0.1,00:07.7,252360,25236,0.1,11:32.8,230280,23028,0.1,22:57.4,267400,0,0,0,252360,0,0,0,230280,0,0,0
2,,B17,258760,25876,0.1,00:07.9,245000,24500,0.1,11:33.0,224960,22496,0.1,22:57.6,258760,0,0,0,245000,0,0,0,224960,0,0,0
2,,B18,251600,25160,0.1,00:08.1,241840,24184,0.1,11:33.2,221840,22184,0.1,22:57.8,251600,0,0,0,241840,0,0,0,221840,0,0,0
2,,B19,257200,25720,0.1,00:08.3,241800,24180,0.1,11:33.4,222440,22244,0.1,22:58.0,257200,0,0,0,241800,0,0,0,222440,0,0,0
2,,B20,256640,25664,0.1,00:08.5,237600,23760,0.1,11:33.5,219400,21940,0.1,22:58.2,256640,0,0,0,237600,0,0,0,219400,0,0,0
2,,B21,265680,26568,0.1,00:08.7,240520,24052,0.1,11:33.8,219480,21948,0.1,22:58.4,265680,0,0,0,240520,0,0,0,219480,0,0,0
2,,B22,252800,25280,0.1,00:08.9,237920,23792,0.1,11:33.9,216280,21628,0.1,22:58.6,252800,0,0,0,237920,0,0,0,216280,0,0,0
2,,B23,560,56,0.1,00:09.1,480,48,0.1,11:34.1,400,40,0.1,22:58.8,560,0,0,0,480,0,0,0,400,0,0,0
2,,B24,245480,24548,0.1,00:09.3,229320,22932,0.1,11:34.3,215760,21576,0.1,22:58.9,245480,0,0,0,229320,0,0,0,215760,0,0,0
2,,C01,230440,23044,0.1,00:09.7,227240,22724,0.1,11:34.8,212360,21236,0.1,22:59.4,230440,0,0,0,227240,0,0,0,212360,0,0,0
2,,C02,360,36,0.1,00:09.9,360,36,0.1,11:35.0,320,32,0.1,22:59.6,360,0,0,0,360,0,0,0,320,0,0,0
2,,C03,8960,896,0.1,00:10.1,920,92,0.1,11:35.1,520,52,0.1,22:59.8,8960,0,0,0,920,0,0,0,520,0,0,0
2,,C04,238600,23860,0.1,00:10.3,235680,23568,0.1,11:35.3,215000,21500,0.1,23:00.0,238600,0,0,0,235680,0,0,0,215000,0,0,0
2,,C05,246040,24604,0.1,00:10.5,234120,23412,0.1,11:35.5,214480,21448,0.1,23:00.2,246040,0,0,0,234120,0,0,0,214480,0,0,0
2,,C06,252760,25276,0.1,00:10.7,245640,24564,0.1,11:35.7,225280,22528,0.1,23:00.3,252760,0,0,0,245640,0,0,0,225280,0,0,0
2,,C07,245280,24528,0.1,00:10.9,235640,23564,0.1,11:35.9,214520,21452,0.1,23:00.5,245280,0,0,0,235640,0,0,0,214520,0,0,0
2,,C08,250000,25000,0.1,00:11.1,241240,24124,0.1,11:36.1,219400,21940,0.1,23:00.7,250000,0,0,0,241240,0,0,0,219400,0,0,0
2,,C09,255800,25580,0.1,00:11.3,245480,24548,0.1,11:36.3,221520,22152,0.1,23:00.9,255800,0,0,0,245480,0,0,0,221520,0,0,0
2,,C10,256720,25672,0.1,00:11.5,244440,24444,0.1,11:36.5,221680,22168,0.1,23:01.1,256720,0,0,0,244440,0,0,0,221680,0,0,0
2,,C11,247040,24704,0.1,00:11.6,243320,24332,0.1,11:36.7,225280,22528,0.1,23:01.3,247040,0,0,0,243320,0,0,0,225280,0,0,0
2,,C12,251040,25104,0.1,00:11.8,242880,24288,0.1,11:36.9,219480,21948,0.1,23:01.5,251040,0,0,0,242880,0,0,0,219480,0,0,0
2,,C13,250600,25060,0.1,00:12.0,238800,23880,0.1,11:37.1,217520,21752,0.1,23:01.7,250600,0,0,0,238800,0,0,0,217520,0,0,0
2,,C14,209600,20960,0.1,00:12.2,207080,20708,0.1,11:37.3,190560,19056,0.1,23:01.9,209600,0,0,0,207080,0,0,0,190560,0,0,0
2,,C15,255400,25540,0.1,00:12.4,242760,24276,0.1,11:37.5,219600,21960,0.1,23:02.1,255400,0,0,0,242760,0,0,0,219600,0,0,0
2,,C16,247800,24780,0.1,00:12.6,241160,24116,0.1,11:37.6,218320,21832,0.1,23:02.3,247800,0,0,0,241160,0,0,0,218320,0,0,0
2,,C17,257200,25720,0.1,00:12.8,245920,24592,0.1,11:37.8,221920,22192,0.1,23:02.5,257200,0,0,0,245920,0,0,0,221920,0,0,0
2,,C18,258280,25828,0.1,00:13.0,240360,24036,0.1,11:38.0,218000,21800,0.1,23:02.7,258280,0,0,0,240360,0,0,0,218000,0,0,0
2,,C19,249680,24968,0.1,00:13.2,242560,24256,0.1,11:38.2,218840,21884,0.1,23:02.8,249680,0,0,0,242560,0,0,0,218840,0,0,0
2,,C20,249400,24940,0.1,00:13.4,236480,23648,0.1,11:38.4,217640,21764,0.1,23:03.0,249400,0,0,0,236480,0,0,0,217640,0,0,0
2,,C21,251960,25196,0.1,00:13.6,240000,24000,0.1,11:38.6,217360,21736,0.1,23:03.2,251960,0,0,0,240000,0,0,0,217360,0,0,0
