Condition,Time,Slope,Y-intercept (log scale),X-intercept,1/slope,R squared,Sy.x,LOD
Lysed (HBSS),0.0,0.9128709505647385,1.9809865599135255,0.006759864658717345,1.0954450893429788,0.9810392407295185,35279.96253774475,127535.96365678325
Lysed (HBSS),10.0,0.9633137266863719,1.7077724249611448,0.01687290163064,1.038083411766406,0.9856433638301502,31519.34191921764,107975.02978724003
Lysed (HBSS),20.0,0.9732026998519915,1.6072081052429432,0.022311930530408107,1.0275351683180534,0.9857005246283748,32017.824184002187,108568.15319488553
Lysed (HBSS),30.0,0.985697450693054,1.534403198554088,0.02775444118725066,1.0145100804480012,0.9833531255522211,30199.914245447704,101105.78752121724
Lysed (opt_HBS),0.0,0.6555224950714027,2.7433070093761627,6.532559016309795e-05,1.5255006617142484,0.9929025414871486,27412.738535717264,137999.89755959998
Lysed (opt_HBS),10.0,0.6784945329706693,2.6439239725797754,0.00012683800679364499,1.4738512271007924,0.9951023844570929,21672.381588644796,105408.15845544847
Lysed (opt_HBS),20.0,0.6857626861377606,2.5759865559056188,0.00017523388098367691,1.4582304056699773,0.9960197428385393,12506.72448538023,60184.36353573154
Lysed (opt_HBS),30.0,0.6802743553828857,2.5668891338685382,0.0001685331873059496,1.469995145469154,0.9964814810066821,10262.41244911434,49782.79838730095
Intact (FuGENE_HBSS),0.0,0.8939569973955762,2.249930422070441,0.0030421333114390827,1.1186220398893525,0.980705017166933,164173.1416652113,606037.3922611215
Intact (FuGENE_HBSS),10.0,1.0051452696705112,1.8777656268323022,0.013547105925066114,0.9948810686119054,0.9853746143824402,34629.9681954653,113693.90922219267
Intact (FuGENE_HBSS),20.0,1.1163224663774958,1.5329241255350605,0.04234565503286468,0.8957985081542199,0.9817930273360761,21646.622292281118,63990.339454810906
Intact (FuGENE_HBSS),30.0,1.0634364450746412,1.6403049034614092,0.02867761831548542,0.9403476856859192,0.9819081388100359,13102.10698335539,40657.76873204495
Intact (PEI_HBSS),0.0,0.8883272939466164,1.7751915313796207,0.010037995094974494,1.1257112179422628,0.9911941998002657,6954.194100981184,25833.76722703401
Intact (PEI_HBSS),10.0,0.8093373809813972,1.9585256646076545,0.0038026598188825203,1.235578664101004,0.9862354328932573,12956.39794593866,52828.541256492805
Intact (PEI_HBSS),20.0,0.8151001316764865,1.8710680132294955,0.005063992512621236,1.2268431339143744,0.9884114066289169,7179.990345706375,29068.78212876449
Intact (PEI_HBSS),30.0,0.8279099881953881,1.7855954555478206,0.006970264991449756,1.2078607750339139,0.9886478779881624,5280.7454335664315,21048.73739807636
