Condition,Time,Slope,Y-intercept (log scale),X-intercept,1/slope,R squared,Sy.x,LOD
Lysed (plain_PBS),0.0,0.8795044286217232,2.9175463389629024,0.0004816574914054546,1.1370039393287719,0.9819014026905059,10357.735473570066,38863.39391871595
Lysed (plain_PBS),20.0,0.16967675721169417,4.192892582491322,1.9450899021021287e-25,5.89355912048913,0.980808832743832,2586.0324200067507,50295.085350877496
Lysed (plain_PBS),30.0,0.2492585502039416,3.842763629139394,3.83020851178598e-16,4.011898485254797,0.9836542175508898,1198.5088756867906,15867.376611676471
Lysed (opt_HBS),0.0,0.7676933433079701,1.9884699467516378,0.0025692844045720475,1.3026034532109223,0.9926411762646604,20687.49445969303,88927.08568087728
Lysed (opt_HBS),10.0,0.7586304217680345,1.9635922131777286,0.0025802491952219477,1.3181649078472741,0.9943602847085379,5665.54839003779,24644.81933581284
Lysed (opt_HBS),20.0,0.7193412134395163,2.0598767736763417,0.00136911501243007,1.3901608601271698,0.9914511306703506,7775.590154400034,35670.759620222445
Lysed (opt_HBS),30.0,0.6806598401284424,2.163026951442112,0.000663990151738601,1.4691626287387505,0.9829108831456538,11201.645855271367,54308.23025407233
Intact (FuGENE_DPBS),0.0,0.7799462217542713,3.1425755900807872,9.349300852769439e-05,1.2821396810549055,0.9933864876279774,120463.0010570532,509686.2993888828
Intact (FuGENE_DPBS),10.0,0.7196702628452426,3.110827649580659,4.758021944435736e-05,1.389525247363235,0.9853368342996034,16770.90288142567,76901.85681689871
Intact (FuGENE_DPBS),20.0,0.609022778499954,3.2818509284996566,4.08586275042406e-06,1.6419747098179769,0.9860711843081756,7967.669835320578,43172.950807060646
Intact (FuGENE_DPBS),30.0,0.5489341624715522,3.37317560098686,7.162179948359779e-07,1.8217120892923542,0.9928145917822757,4988.635711896799,29989.93135194529
Intact (PEI_DPBS),0.0,0.45807759534231135,3.3298650914512216,5.380018490347592e-08,2.1830362588520007,0.9853715919626993,6328.582628334319,45591.23363782255
Intact (PEI_DPBS),10.0,1.0207302656689006,1.6775885748500778,0.02272385399160349,0.9796907504694047,0.9872097892658984,2522.7982550805937,8156.154982149277
Intact (PEI_DPBS),20.0,0.37002030180232987,3.263940614604713,1.510159726404497e-09,2.702554414255395,0.9983413318032806,731.5616544830473,6524.381089456359
Intact (PEI_DPBS),30.0,1.412192735184808,0.8005189536386825,0.27110504953756454,0.7081186406677938,0.9851686901741058,2333.7129107050487,5453.40052632322
