Condition,Time,Slope,Y-intercept,X-intercept,1/slope,R squared,Sy.x,LOD
Lysed (plain_PBS),0.0,20.23469603876075,-1093.622827604726,54.04691157751157,0.04942006532168515,0.9944717324037691,4069.290297771596,663.6451546849473
Lysed (plain_PBS),2.5,18.60992916277873,-1390.4043589098437,74.71303876270296,0.05373475585280979,0.9946232738985368,3690.6091071564556,654.4361317599879
Lysed (plain_PBS),5.0,17.458342412598185,-1775.0038101201135,101.67080975793245,0.057279206488606044,0.9952948475812379,3237.707852062439,611.9960108066165
Lysed (plain_PBS),7.5,16.320758467724126,-1301.3820770730526,79.73784304489655,0.06127166221947322,0.9941741683214056,3369.859140015462,681.3736741489652
Lysed (plain_PBS),10.0,16.246226822941683,-2166.2301339004844,133.33743013125357,0.06155275381160358,0.9945252184393095,3251.2599275260636,660.4092062585948
Lysed (plain_PBS),12.5,15.568191328299267,-1957.7238646838705,125.7515290890082,0.06423353740406812,0.9937879961173984,3319.9445281696553,703.7308773977355
Lysed (plain_PBS),15.0,15.439485466706104,-2518.0575981611037,163.09206699867516,0.06476899778534798,0.9940238836966652,3228.996801183469,690.1583259936677
Lysed (plain_PBS),17.5,14.686193149171304,-2063.413051049378,140.50019838979236,0.0680911649358518,0.9925265135129225,3437.3478599921336,772.3749662528512
Lysed (plain_PBS),20.0,14.69847542694276,-2432.045261094172,165.46241636980648,0.06803426688505183,0.9937967465983085,3132.253820085664,703.2319547465229
Lysed (plain_PBS),22.5,13.704450791275738,-1672.9212100944715,122.07137926019291,0.07296899490759605,0.9891386368225923,3873.45844870327,932.7198204001054
Lysed (plain_PBS),25.0,13.763895624572598,-1957.0173726214853,142.18484548281768,0.07265384940980707,0.9912478607417485,3488.438169204159,836.3799226885807
Lysed (plain_PBS),27.5,14.35971440530377,-3087.7056494904864,215.02556125698715,0.06963926800874601,0.9928395409231594,3289.276516922448,755.9072694255618
Lysed (plain_PBS),30.0,13.70207686115085,-2533.4056762852415,184.89209350942573,0.07298163702725056,0.9921556269151677,3286.240176951776,791.4561196695852
Lysed (opt_HBS),0.0,23.437880578974934,14398.154067393603,-614.3112650001954,0.042665973855035975,0.9383263113157283,16207.462784790476,2281.9737053267186
Lysed (opt_HBS),2.5,23.36873925204586,13632.948084331692,-583.3839787971518,0.04279221010660441,0.942908424407646,15509.94365729663,2190.2257334912915
Lysed (opt_HBS),5.0,23.41761399220497,13430.577700289927,-573.5246001048855,0.04270289878092919,0.9534656011774655,13954.06890439765,1966.4013336217943
Lysed (opt_HBS),7.5,22.656961779977074,14089.373784621363,-621.8562718798751,0.044136544418931875,0.945980979064385,14603.518505838683,2127.0111825786207
Lysed (opt_HBS),10.0,22.112049193779985,14878.690846822734,-672.8770688068132,0.045224211977662174,0.937901259198299,15346.71791246096,2290.3426393139143
Lysed (opt_HBS),12.5,22.369820128998644,14586.085375919021,-652.0430335070356,0.04470308631152877,0.9458889291855485,14431.42331712492,2128.9262350740255
Lysed (opt_HBS),15.0,22.01369905887664,15348.835190152051,-697.2401661847422,0.04542625922728636,0.9335077514822991,15846.861111302629,2375.54994857676
Lysed (opt_HBS),17.5,21.611220942659823,15365.482361065027,-710.9955703952886,0.04627225840933557,0.9341827115305302,15472.377920295427,2362.608168804866
Lysed (opt_HBS),20.0,21.447895384201928,15766.678921913175,-735.1154339146293,0.04662462130137855,0.9279287954703311,16122.48301055502,2480.6253938566233
Lysed (opt_HBS),22.5,21.121684418069975,16222.050870959858,-768.0282760536658,0.04734470888810754,0.9256487424205939,16146.309839072497,2522.659718528643
Lysed (opt_HBS),25.0,21.593859183233263,15608.266615603548,-722.8104287964757,0.046309461940756684,0.9300434888075717,15974.099637362084,2441.181465341106
Lysed (opt_HBS),27.5,20.970361888771645,16135.938319804023,-769.4639894814518,0.0476863492058017,0.9214102003852064,16519.09265407483,2599.5262288551794
Lysed (opt_HBS),30.0,20.356322268253354,16607.75938543125,-815.8526460023595,0.0491247872195238,0.9250245244385635,15631.692019113965,2534.081696256336
Intact (FuGENE_DPBS),0.0,100.42621195728267,44904.975443698495,-447.14397335627166,0.009957559689947883,0.9374978390280183,69941.21000533244,2298.2644522704168
Intact (FuGENE_DPBS),2.5,84.61502977978557,40091.94603507189,-473.8158946396755,0.01181823137807249,0.9278026652436379,63665.47263448502,2482.9638450826646
Intact (FuGENE_DPBS),5.0,73.77593124369155,34102.20755629061,-462.2402859768257,0.013554556115284663,0.9239363860817102,57096.01839791197,2553.9069116016167
Intact (FuGENE_DPBS),7.5,64.51825726936698,32435.253580496268,-502.7298466088048,0.015499488707900919,0.9134025758109917,53583.08080810091,2740.684174535018
Intact (FuGENE_DPBS),10.0,58.78939882799938,28301.248810127217,-481.4005479615196,0.017009869465168508,0.9142850584234736,48552.3388813946,2725.3675237837874
Intact (FuGENE_DPBS),12.5,52.58902732904389,27556.660015191243,-524.0001843497158,0.019015373563445234,0.902142715434292,46717.30443149228,2931.5450856186694
Intact (FuGENE_DPBS),15.0,49.438446110640065,25368.582318220186,-513.1347021192156,0.020227172952848566,0.8953818800938074,45581.41447487572,3042.544408261994
Intact (FuGENE_DPBS),17.5,45.93931785775029,25111.438414777193,-546.6219261795311,0.02176784607678481,0.884859236670115,44697.75194682211,3210.8134883772163
Intact (FuGENE_DPBS),20.0,43.78499600081873,23269.613259789694,-531.4517616800646,0.02283887384576445,0.8922260156916992,41045.780994873894,3093.550066341243
Intact (FuGENE_DPBS),22.5,41.537810240376174,23753.86813904032,-571.861347566915,0.02407445154698997,0.862191990496015,44792.21271371622,3558.548250374136
