Condition,Time,Slope,Y-intercept (log scale),X-intercept,1/slope,R squared,Sy.x,LOD
Intact (PEI_HBSS),0.0,1.0547798506617765,2.4571105365030648,0.004682730575395982,0.9480651335656373,0.9883175209201355,421685.3428214559,1319291.063853494
Intact (PEI_HBSS),2.5,1.053262770291795,2.4642021508391125,0.004575208060857101,0.9494306911873102,0.9858044060134615,466797.1027029724,1462531.936349606
Intact (PEI_HBSS),5.0,1.0423356972721636,2.4992013493210963,0.0040022726367981475,0.9593838171493523,0.9850281177079208,481436.67648784013,1524212.436135186
Intact (PEI_HBSS),7.5,1.036694324833599,2.5141008370419504,0.003757396664192951,0.9646044895254069,0.9824701515240303,504211.75095983624,1605004.2315361705
Intact (PEI_HBSS),10.0,1.0214797446837511,2.5394103890456807,0.0032657918672603418,0.9789719328302479,0.9801739847254878,476613.11021916993,1539749.8304875393
Intact (PEI_HBSS),12.5,1.0086434878761652,2.5633463160948615,0.0028748823098707164,0.991430581786271,0.9766249516302228,488192.0532274734,1597228.1534706687
Intact (PEI_HBSS),15.0,0.9983650761965533,2.5835668008406154,0.0025834636017505854,1.001637601156558,0.9756443394854162,468694.2841558513,1549224.0009102682
Intact (PEI_HBSS),17.5,0.9883603940452168,2.60381551493896,0.002320171982080537,1.0117766818914546,0.9720546367552412,471127.7106296677,1573030.9049664084
Intact (PEI_HBSS),20.0,0.980636163496531,2.6147851811630836,0.0021556723497711343,1.0197461986660024,0.9705014508374792,461935.7846780811,1554488.9594957917
Intact (PEI_HBSS),22.5,0.9773023154680703,2.6128162695506894,0.002120808742573983,1.0232248344986872,0.970183719645454,445964.37171803415,1505862.0074635383
Intact (PEI_HBSS),25.0,0.9699210030603901,2.624989443464947,0.0019660968473973386,1.0310118008009947,0.9679087450495554,443292.7729486794,1508232.2643956188
Intact (PEI_HBSS),27.5,0.9637921811642507,2.6298991909837617,0.0018676717672940788,1.0375680769603366,0.966967416634684,429233.0233655517,1469682.9926501804
Intact (PEI_HBSS),30.0,0.963347227287036,2.617787924479403,0.0019169566024153,1.0380473121993459,0.9668404265470604,412364.7535838715,1412578.609541495
