Condition,Time,Slope,Y-intercept (log scale),X-intercept,1/slope,R squared,Sy.x,LOD
Lysed (plain_PBS),0.0,0.48962719335202376,3.6562735198440253,3.40828447621197e-08,2.042370222850423,0.9343130922153651,26799.686811839743,180625.11167652166
Lysed (plain_PBS),2.5,0.4547370325777033,3.7023439559222524,7.215639104085553e-09,2.199073152963685,0.9383922274595482,21074.849517880673,152938.94806581948
Lysed (plain_PBS),5.0,0.4321188473201445,3.704333285337755,2.6761644981427332e-09,2.3141781623311806,0.9285638301410571,17535.162194353998,133912.31509626078
Lysed (plain_PBS),7.5,0.4207896842026351,3.673252757690883,1.864546304859212e-09,2.376484114373966,0.9167719445433232,16099.510425556973,126258.76155926283
Lysed (plain_PBS),10.0,0.411583922326616,3.628138315515584,1.5308644281938827e-09,2.4296381509441987,0.9038675114992584,14284.109094530779,114527.2141474592
Lysed (plain_PBS),12.5,0.399515600944442,3.595573329006627,1.000386683528723e-09,2.5030311648306904,0.8731681994671686,14088.67120753382,116372.46424158296
Lysed (plain_PBS),15.0,0.3932888669717569,3.5674365731980275,8.496118244779051e-10,2.542660329288733,0.8529538704275307,13664.41894368775,114655.12070395774
Lysed (plain_PBS),17.5,0.3886877089734924,3.525364824556564,8.513029111292054e-10,2.5727595108189996,0.8338594656275723,13015.647721847981,110504.23383731832
Lysed (plain_PBS),20.0,0.381814418611142,3.498155588590671,6.887690670797437e-10,2.619073432683661,0.8138297167436551,12272.738344360645,106072.56971517699
Lysed (plain_PBS),22.5,0.3790458200938867,3.4654869617724975,7.2001285885447e-10,2.6382034756439414,0.8092617782003205,12050.883193640047,104915.8503559331
Lysed (plain_PBS),25.0,0.37495059147722565,3.439258340978018,6.721030761733802e-10,2.6670180624604765,0.8069367474935768,11582.680504143145,101941.01978365333
Lysed (plain_PBS),27.5,0.38428113634310557,3.369367545815562,1.7061790745911957e-09,2.602261483652816,0.8056566721387222,11086.750949081817,95207.06241303482
Lysed (plain_PBS),30.0,0.39600134142680327,3.3007354441935477,4.622082779446273e-09,2.525243971136496,0.790096688752036,11746.215456799935,97884.79722764937
Lysed (opt_HBS),0.0,0.7038397980103266,2.1765121842612167,0.0008084621323795669,1.4207778571585237,0.978312701731775,4187.684067890319,19634.237028232517
Lysed (opt_HBS),2.5,0.7162974388489454,2.130722611870421,0.0010601471373139226,1.3960680937334504,0.9818299070674631,4289.911662041426,19763.72902782654
Lysed (opt_HBS),5.0,0.7268724104902023,2.087897552865983,0.0013414045388744217,1.3757572657429666,0.9821652583371254,4806.229700696903,21820.277924159243
Lysed (opt_HBS),7.5,0.7296254220292916,2.0735747892644385,0.0014388923912956294,1.370566279363898,0.981075883974556,5363.414596030541,24258.02011897309
Lysed (opt_HBS),10.0,0.7371383572009805,2.0430670477040387,0.0016919226185734616,1.3565974287339253,0.9801598586920492,5976.196625348158,26754.06681933372
Lysed (opt_HBS),12.5,0.7210820488890671,2.0912560333968,0.0012584507675736628,1.3868047353843393,0.9803494426392569,5627.334078145474,25753.244705633973
Lysed (opt_HBS),15.0,0.7239484388283454,2.0788332395212494,0.0013442463609350454,1.381313842762646,0.9798581603275415,6041.203421496504,27537.83311309199
Lysed (opt_HBS),17.5,0.7276302825452712,2.063605099685053,0.0014586036820319417,1.3743243292486012,0.9794215065966945,6630.283773953434,30070.128991209243
Lysed (opt_HBS),20.0,0.7062294180415414,2.1312600246785505,0.0009598397780257646,1.4159704685952046,0.9771587988523041,5741.4049244831085,26827.877410340036
Lysed (opt_HBS),22.5,0.7019841177518424,2.1418978217916087,0.0008887804034817155,1.4245336535569724,0.9776508276387612,5984.377396189511,28132.325088310095
Lysed (opt_HBS),25.0,0.7096953015438007,2.1171663015921243,0.0010394303202714082,1.4090554042343233,0.9786989150613342,6431.689889522013,29906.60441072782
Lysed (opt_HBS),27.5,0.7015868521404767,2.140107375668195,0.0008904688971795308,1.4253402796091352,0.9799783314584791,6220.966956330956,29261.082777220654
Lysed (opt_HBS),30.0,0.6961012896967418,2.1601914264319997,0.0007883667675287155,1.4365725431074152,0.9768676943683116,6823.667549781112,32348.88836951837
Intact (FuGENE_DPBS),0.0,0.8218395185939825,3.0094053263506804,0.0002178753303207452,1.2167825680989612,0.9748580506686491,147672.90361787117,592963.189179186
Intact (FuGENE_DPBS),2.5,0.8139253747125109,2.9440643684339913,0.0002414802957657011,1.2286138644506728,0.9677851395705617,157954.44654780775,640414.5758348887
Intact (FuGENE_DPBS),5.0,0.7999389505057172,2.9106232420010465,0.00022984935132821762,1.250095397114749,0.9625566166334854,154572.7662804549,637661.3220334187
Intact (FuGENE_DPBS),7.5,0.7855489221745079,2.8789217728005907,0.00021634478390599173,1.272995190715636,0.9509063048372971,142711.7558330555,599515.5501524104
Intact (FuGENE_DPBS),10.0,0.7777002174935489,2.837759910897889,0.0002244334948324778,1.2858425103993174,0.9352461051022773,138018.55434689636,585651.4105302228
Intact (FuGENE_DPBS),12.5,0.7626853836529465,2.828013985608597,0.0001958983162875337,1.3111566334343723,0.9207111621671616,129785.14172199358,561556.5433170396
Intact (FuGENE_DPBS),15.0,0.7571305994170925,2.7881935807144194,0.00020769237733695453,1.3207760996186,0.9024661274311896,119732.95735239568,521863.4137454012
Intact (FuGENE_DPBS),17.5,0.7499554851353248,2.760232590483334,0.00020867548347501866,1.3334124755678747,0.8759246299976213,112191.44040002771,493671.6387283779
Intact (FuGENE_DPBS),20.0,0.7556330966666985,2.6947922551517656,0.000271474593027722,1.3233935946046698,0.8588268077225261,105801.29977772164,462055.31600806135
