Condition,Time,Slope,Y-intercept (log scale),X-intercept,1/slope,R squared,Sy.x,LOD
Lysed (plain_PBS),0.0,0.4779483025608225,4.217744300048553,1.4973134738227021e-09,2.092276496520756,0.7770157033770262,278533.472368979,1923137.824515363
Lysed (plain_PBS),2.5,0.3309105235294143,4.412465268210781,4.631105403497381e-14,3.0219649388427836,0.4853868109714421,166620.96912905498,1661624.9983872327
Lysed (plain_PBS),5.0,0.1922386400043456,4.601497001810273,1.1577657760878451e-24,5.201867844973283,0.16871959659749206,113865.51326657634,1954634.0619721813
Lysed (plain_PBS),7.5,0.07802237486370175,4.739438146977515,1.8005181469581892e-61,12.81683621841699,0.024891352276552686,83600.3026891207,3535921.5783426
Lysed (plain_PBS),10.0,-0.018320693669029078,4.851112348934986,6.147280584497024e+264,-54.58308610281981,0.0011564221696895131,66415.10001943487,-11962965.705531072
Lysed (plain_PBS),12.5,-0.09415695385957842,4.917613090118492,1.6897673978995032e+52,-10.620564483122047,0.02820488362547806,51125.980285403646,-1791856.3422670546
Lysed (plain_PBS),15.0,-0.14179720879848132,4.92760841248105,5.637622331406987e+34,-7.0523249961935095,0.061981374460999404,41230.90082735478,-959553.2513170881
Lysed (plain_PBS),17.5,-0.18294405682188697,4.933104150666168,9.2277649547312e+26,-5.466151879279647,0.10033322489268497,33443.44651831481,-603262.9615177271
Lysed (plain_PBS),20.0,-0.19739628751061028,4.878728243070606,5.192783261441432e+24,-5.065951404715496,0.12176695892890291,27160.122480579656,-454053.14008803345
Lysed (plain_PBS),22.5,-0.205043546078781,4.821083395030104,3.254508843790493e+23,-4.877012805932375,0.1414015212964136,22580.8088665515,-363418.7502345938
Lysed (plain_PBS),25.0,-0.21662831635916663,4.780308165426223,1.1664513503559602e+22,-4.616201689635137,0.16014146982806543,19070.422906829393,-290508.63086705614
Lysed (plain_PBS),27.5,-0.21244406879076666,4.701815746186266,1.355242521954697e+22,-4.707121294051691,0.16786081201165434,16116.275697337744,-250342.17290196262
Lysed (plain_PBS),30.0,-0.20803765846313843,4.634258664443995,1.888237620462993e+22,-4.806822031104464,0.16818737657990945,13842.413895069667,-219575.46624580852
Lysed (opt_HBS),0.0,0.5431056373738304,3.1065154881853805,1.9058546474803458e-06,1.8412624196564544,0.9703042846832148,12861.065873883097,78145.97099201324
Lysed (opt_HBS),2.5,0.5323221277753107,3.120637806386079,1.3730587196443434e-06,1.878561772698077,0.9626597530246255,16143.404152149415,100077.06034076288
Lysed (opt_HBS),5.0,0.5221753564596281,3.131019953398873,1.00900139815443e-06,1.9150654806462795,0.9566714079070501,17078.328919809446,107930.18999878543
Lysed (opt_HBS),7.5,0.5037826180703557,3.168379978924013,5.138296725096462e-07,1.984983133857042,0.9479874039485531,17804.584751933857,116627.941445126
Lysed (opt_HBS),10.0,0.4940108876281848,3.183902246746765,3.589184616761903e-07,2.0242468841145174,0.9395767906184378,18359.899084209825,122644.39609576676
Lysed (opt_HBS),12.5,0.48077303528332355,3.205147839900493,2.154493800928388e-07,2.079983540280481,0.929760838395484,18057.149124208074,123943.29077705156
Lysed (opt_HBS),15.0,0.4711003404953861,3.217045615820854,1.4832327877215513e-07,2.122690038704809,0.9179335557663014,18350.985826541895,128546.40088756493
Lysed (opt_HBS),17.5,0.45419622694156064,3.256063382801971,6.778798540098079e-08,2.2016915612305725,0.9068052808059845,17982.527178668228,130653.52851828172
Lysed (opt_HBS),20.0,0.4448403399458221,3.2708866572571713,4.4366458855348364e-08,2.247997562725071,0.8899902319426082,18814.325874623304,139572.04374454578
Lysed (opt_HBS),22.5,0.43193958716323205,3.2929162522776925,2.3792636111666583e-08,2.3151385742795907,0.8742795116491959,18525.677614147193,141535.38583529418
Lysed (opt_HBS),25.0,0.41910178909201246,3.3242901548828874,1.1696615534169692e-08,2.386055192382997,0.8513960259131769,19450.698188911996,153154.45005012245
Lysed (opt_HBS),27.5,0.41148514304379497,3.3330397093111612,7.94283561865669e-09,2.4302213990106774,0.8314010710574883,20084.250197081616,161070.27621970608
Lysed (opt_HBS),30.0,0.3992762442183504,3.35660196439861,3.919981937195383e-09,2.504531673197002,0.813656419616084,19544.809199856714,161536.95916918988
Intact (FuGENE_DPBS),0.0,0.8417591236464173,3.067203315114437,0.0002270901580748406,1.1879883115113727,0.8865578514348803,627020.8291499285,2458148.2731441385
Intact (FuGENE_DPBS),2.5,0.6744364151231345,3.3599768186078394,1.0425501908733105e-05,1.482719464098667,0.7438212505120291,344947.5724217729,1687819.5830870457
Intact (FuGENE_DPBS),5.0,0.5601012105236454,3.554555413700793,4.505329925849314e-07,1.7853916063939372,0.6128662395711107,234152.91722332168,1379580.3549764703
Intact (FuGENE_DPBS),7.5,0.44844203959602724,3.7777968733356757,3.7646957443420415e-09,2.229942582771312,0.49228222058339627,168302.52368198978,1238506.3823429423
Intact (FuGENE_DPBS),10.0,0.4006389509077421,3.823844656126144,2.8551853888058105e-10,2.4960129256884884,0.4303070105234625,129668.0675527452,1068055.46978031
Intact (FuGENE_DPBS),12.5,0.3657100931371584,3.8535842787798016,2.9022491166286368e-11,2.734406347447876,0.3836662215439724,105089.22253058724,948276.9025488005
Intact (FuGENE_DPBS),15.0,0.3549094345283454,3.8193340511845832,1.7320767800087628e-11,2.8176202228293636,0.3650609635809371,88643.29995577695,824218.410093297
Intact (FuGENE_DPBS),17.5,0.33754800211295954,3.820568207069978,4.801840510348256e-12,2.9625416051651006,0.3439180170918958,74707.81072693983,730372.4917808842
