Time,Vmax_kdeg=0.20
1,0.4564071582066598
4,0.4115766995308871
7,0.38024737224899047
10,0.35626932281869306
13,0.33709940961380835
16,0.3213664156586504
19,0.30781406273914047
22,0.2959969217804993
25,0.28571933741611166
28,0.2767152331762007
