Time,Vmax
0,0
3.333333333,0.358792022
6.666666667,0.337850749
10,0.323305353
13.33333333,0.311403275
16.66666667,0.301843982
20,0.293669158
23.33333333,0.286547418
26.66666667,0.280221988
30,0.274163332
